ID,Weight
13173,2.39
13323,2.1
13759,34.8
13817,0.44
13839,2.1
14451,2.39
14453,9
14458,9
14461,2.39
14463,9
14478,2.39
14899,2.13
15060,2.39
15063,2.39
15064,2.39
15065,9
15066,9
15067,9
15068,9
15120,2.39
15122,9
15123,22.05
15128,22.05
15138,2.39
15140,2.39
15141,9
15150,2.39
15152,9
15153,2.39
15154,9
15185,8.66
15187,34.8
15196,2.39
15232,11.3
15236,11.3
15238,11.3
15301,0.27
15303,0.71
15307,0.36
15308,0.62
15310,0.36
15312,0.62
15354,0
15406,129.5
15408,129.5
15409,469.5
15410,2339.5
15411,2339.5
15504,6.57
15508,9
15549,12.84
16621,2.39
16622,9
62658,9
62663,9
62675,9
62688,9
62699,9
62703,9
62712,2.18
62719,9
62726,9
62784,0.56
62786,1.01
63859,129.5
63890,13.25
